,count,mean,std,min,25%,50%,75%,max,range
leftdx,500.0,0.4582274326682091,0.0544993565154696,0.3242647349834442,0.42785927653312683,0.45880039036273956,0.48678300529718393,0.5952452421188354,0.27098050713539124
leftdy,500.0,0.49474691921472547,0.041620301201602664,0.4243073463439941,0.4724573120474815,0.48911556601524353,0.5060055404901505,0.6263088583946228,0.20200151205062872
rightdx,500.0,0.5635533369779587,0.05285490257458462,0.4244436621665954,0.544131264090538,0.5714104175567627,0.5912299603223801,0.6795939207077026,0.25515025854110723
rightdy,500.0,0.4987714461088181,0.04075645812310137,0.4294184744358063,0.4743442758917808,0.4909610897302627,0.5128694474697113,0.6301230192184448,0.20070454478263855
face_center_x,500.0,0.5101317229866982,0.049828535015878375,0.3882362306118011,0.48702593594789506,0.5145172834396363,0.5352949768304824,0.63197620511055,0.24373997449874885
face_center_y,500.0,0.5632413203835488,0.039861937469798825,0.490139627456665,0.542368832230568,0.5583556771278382,0.5775482520461083,0.6871437191963196,0.19700409173965455
face_width,500.0,0.23835209143161773,0.02256917485228335,0.1678728759288787,0.22628203034400934,0.2401838451623916,0.25390347838401794,0.2776087522506714,0.10973587632179269
face_height,500.0,0.3922799605131149,0.027406733722029997,0.3162735402584076,0.37236994504928583,0.3902631103992462,0.41736883670091623,0.4396587312221527,0.12338519096374512
face_yaw,500.0,-0.018253005981186975,0.27441370351247624,-0.7230581066779296,-0.0312587515791568,0.00212643149293855,0.0476267124989741,0.5571031948670905,1.2801613015450202
face_pitch,500.0,0.033664922800032276,0.06096191094099577,-0.0896404375288628,0.011062198706138076,0.0311032600890843,0.04892944096279048,0.1934801636122541,0.2831206011411169
face_roll,500.0,0.06214531619583461,0.05694347786264094,0.0003100472854496,0.020854465313180276,0.04636319986535055,0.08401626626262833,0.3757924164150319,0.3754823691295823
