dataset,ablation,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,198.81348633365226,184.70266883267925,91.58910053653466,25.879116151692724,490.9397948215829,135.85639591248437,249.26389334838225,155.8180474034064,143.56278517253048,99.06092062377208,88.58290523992996
ExperimentHeadMovement,INTERACTION_FEATURES,9,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction",400,100,202.50284892627695,198.44690213828096,93.49457257723967,44.43292292897768,471.8914200741414,140.88684853000132,257.3233205167276,160.92008416875007,150.72755644623436,100.50993603864742,91.87363136994898
ExperimentHeadMovement,RELATIVE_PLUS_HEAD_POSE,5,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll",400,100,223.531577057625,208.7823373392504,122.59176676139866,26.69608631580611,790.5171895502457,145.29903924596124,266.08526932782354,182.48285521211088,172.25433880409787,101.4635767988488,91.52458300856313
ExperimentHeadMovement,RAW_ALL,11,"leftdx, leftdy, rightdx, rightdy, face_center_x, face_center_y, face_width, face_height, face_yaw, face_pitch, face_roll",400,100,234.39564759842867,216.59530534639705,118.91157754554547,27.75366490556071,740.9132743330274,164.11133448268862,279.1681290731935,194.69432654560035,181.55999040160864,103.0397302579974,97.7165840522103
ExperimentHeadMovement,RAW_FACE_CENTER,6,"leftdx, leftdy, rightdx, rightdy, face_center_x, face_center_y",400,100,237.02584273048177,223.69520674114693,113.72934849116254,12.686207406468748,690.4255675035139,165.6811823633907,288.5450497473482,194.80587490159454,195.3599912642964,110.46638460616936,108.62127844914414
ExperimentHeadMovement,RELATIVE_IRIS_TO_FACE,4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,239.79322066254142,217.80936918221775,113.2018871635891,38.11663052487132,703.4896378076504,166.22917120352923,306.35867892527557,196.31668093699807,173.36139229601815,110.83145454754997,111.31120041425592
ExperimentHeadMovement,AVG_NORMALIZED_RELATIVE_IRIS,2,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm",400,100,244.37957569952647,229.90872782735994,114.85371537367462,37.53164633665733,730.017805211889,168.44199780065114,298.116126993038,196.62205719805024,191.3295644026314,113.41040148368586,105.05325750058017
ExperimentHeadMovement,AVG_IRIS_ONLY,2,"avg_iris_x, avg_iris_y",400,100,248.75433091764847,240.39667372380535,76.55920563665417,61.6823244722851,401.8621014871026,194.59030865863699,307.413341049324,202.80468720187002,215.0333465430874,115.03013434858538,99.06206684293338
ExperimentHeadMovement,RAW_HEAD_POSE,7,"leftdx, leftdy, rightdx, rightdy, face_yaw, face_pitch, face_roll",400,100,252.4811391187034,247.75592293196416,85.32560402801559,86.36608202600472,428.5055393253791,187.7415483803075,313.39804144313445,210.73206879938488,206.4371149203808,112.44805589186406,103.21116473370067
ExperimentHeadMovement,NORMALIZED_RELATIVE_IRIS_TO_FACE,4,"left_iris_rel_face_x_norm, left_iris_rel_face_y_norm, right_iris_rel_face_x_norm, right_iris_rel_face_y_norm",400,100,253.04292848967015,222.63778651593097,139.24561843364816,49.133679904040555,906.9344891502989,179.17000676510088,307.107181536909,206.47314815426455,191.3611526617922,112.7905787725382,99.58542739927566
ExperimentHeadMovement,RAW_IRIS,4,"leftdx, leftdy, rightdx, rightdy",400,100,256.09295064464857,243.78107325684186,81.89449288761561,94.55345081872339,446.1527512380884,198.32613754634525,325.89283621145654,212.92097453917293,223.677670998741,114.66405827312005,103.2869612436495
ExperimentHeadMovement,AVG_IRIS_WITH_EYE_DIFF,4,"avg_iris_x, avg_iris_y, iris_dx, iris_dy",400,100,256.0929514163193,243.78107522102863,81.89449406487284,94.55345455807357,446.1527537086228,198.32613851117642,325.89284046064034,212.9209755043541,223.67766876138347,114.6640582363711,103.28696130402406
