dataset,ablation,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,140.8367423331401,132.34456160743434,87.68674499983649,19.229438504437404,485.6515939624515,85.4826233506277,175.70997492418596,85.53180903439625,68.95334516431421,93.82441900984816,75.63018376482174
ExperimentHeadStill,NORMALIZED_RELATIVE_IRIS_TO_FACE,4,"left_iris_rel_face_x_norm, left_iris_rel_face_y_norm, right_iris_rel_face_x_norm, right_iris_rel_face_y_norm",400,100,143.40109295033227,123.16001439356077,97.25228363466817,12.707165620299934,476.4756420942002,64.38756858679943,201.89289457032277,75.20239259037638,53.77491777268496,106.57653214910417,83.21150210590346
ExperimentHeadStill,RAW_FACE_CENTER,6,"leftdx, leftdy, rightdx, rightdy, face_center_x, face_center_y",400,100,152.03471625097993,136.8482414857192,89.80210406398972,22.792192493381766,499.9905786825289,94.86713877837249,193.65617627911573,87.85175768539396,72.83209348770532,110.44094206523596,92.41637453742374
ExperimentHeadStill,AVG_NORMALIZED_RELATIVE_IRIS,2,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm",400,100,171.46736333222972,150.06492333210014,94.69058313411713,48.647448745489626,499.1639309053765,103.60992771936665,207.31691688460617,124.19646493066901,96.11839091796627,93.0567184946312,78.18080754069288
ExperimentHeadStill,INTERACTION_FEATURES,9,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction",400,100,216.81715336462045,150.67708805984165,152.26070743533074,27.992664197217348,703.0857757149292,104.68828386762102,315.4911942948059,148.64092761285562,108.71600249002711,140.574514752076,101.53851749333091
ExperimentHeadStill,RELATIVE_PLUS_HEAD_POSE,5,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll",400,100,222.05611747336894,156.13666640863448,153.84811485001484,41.036486602670344,693.0869429983011,110.76583633148584,317.0233715474547,168.09578327420502,118.05958150425924,125.07730985999588,96.55387430275266
ExperimentHeadStill,RAW_ALL,11,"leftdx, leftdy, rightdx, rightdy, face_center_x, face_center_y, face_width, face_height, face_yaw, face_pitch, face_roll",400,100,254.0032345422913,180.72268383583318,207.62936777899995,18.122685145737755,848.0297319554221,117.57226688899081,299.70240123402147,91.88327653191146,72.52460120725509,220.68242237717527,146.2941678012097
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,263.5572733667004,171.1061531671449,207.55148664758428,14.06628897498976,850.603675533521,115.98399939283026,337.2074655986701,188.1808639500987,121.80876808780002,160.6555794369825,112.25082489797629
ExperimentHeadStill,AVG_IRIS_ONLY,2,"avg_iris_x, avg_iris_y",400,100,265.4797835034996,233.23043379976824,175.2552373949521,31.944709652303533,790.1240473911133,149.26477925885158,310.944828897309,207.8730168961482,153.96196050627663,122.63684141028968,116.17559256220606
ExperimentHeadStill,RAW_IRIS,4,"leftdx, leftdy, rightdx, rightdy",400,100,291.417070775206,218.00973207334218,219.33710949750787,37.16173806967872,877.6925791409614,138.59754322996164,307.753589258848,230.74798579068502,153.88460551835175,126.01862621600726,119.5396309130222
ExperimentHeadStill,AVG_IRIS_WITH_EYE_DIFF,4,"avg_iris_x, avg_iris_y, iris_dx, iris_dy",400,100,291.4171293892346,218.0095720008371,219.33728654698854,37.16165095703863,877.6931672823091,138.5974418445697,307.75370384913083,230.7480393224084,153.8843727107502,126.01862663982746,119.53962388736713
ExperimentHeadStill,RAW_HEAD_POSE,7,"leftdx, leftdy, rightdx, rightdy, face_yaw, face_pitch, face_roll",400,100,448.8277020747667,215.4351990305707,562.6044896389024,15.04284295000565,1897.0486574337938,124.86647344444248,334.0484858320298,377.5522321481346,115.4161228547741,182.91868824108266,148.79686019030132
