dataset,ablation,model,model_parameters,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels,p90_pixel_error
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.0, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,556.0670270347583,515.5908261069869,277.56311383878574,105.8111444204969,1465.1975232210139,351.3661920409512,743.0983980719684,459.22156857703396,425.5506111215492,237.14888270830662,212.70431092783582,885.3888062346593
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,linear,,14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,560.0796864374483,517.6339095268065,265.97689571970784,44.59010664769348,1440.3058399952415,370.7528311294236,733.1113748177792,462.91316174689905,431.20565152900593,248.03205014082306,234.181268729438,869.1754923598987
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,ridge,{'alpha': 0.01},14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,561.1637886934722,518.459616126717,266.14376695334516,56.51608766008759,1442.1905470364677,372.86721897494897,731.2368898764519,463.76042132156215,429.7473791359074,247.73573901566215,228.02145499062607,871.7609348966816
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,ridge,{'alpha': 0.1},14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,565.6301889874723,534.8774393584993,266.71423282742677,80.34423647608257,1450.8755038045113,387.29990963190653,713.2283655675905,468.60634286674883,430.23047564923354,247.68427904917505,220.06546796407054,907.2664977800691
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.1, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,570.692833177564,521.7024882529952,266.20184058059266,128.4377478587534,1476.9546688024532,380.0332002108368,758.8355746631865,465.1568311223514,411.89293920137567,249.34289247836648,208.26741168348855,905.041041945342
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,ridge,{'alpha': 1.0},14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,573.7701668978067,535.0566284531722,267.29912562988847,71.58760089013185,1458.5748070896216,396.25267668691936,734.8157639581307,476.97645708783654,433.39782184894784,249.55935555304117,218.71422949763536,929.2982178281026
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,575.2835620519073,528.8519646646939,266.82354810272784,122.59643177381773,1482.4146505847784,383.3636694477202,750.685289411916,469.7263800629123,419.8052850278574,252.89606682455624,215.6527044795925,920.9615293302536
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 1.0, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,589.1632809652555,535.0559945285164,312.04337911588937,75.56577493699693,1860.9121532445017,372.688872557689,791.6545141598683,481.9884269216787,468.2974579424936,260.27156638792167,223.2306624267794,956.1340393545989
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,elasticnet,"{'alpha': 0.01, 'l1_ratio': 0.5, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,592.8107641756802,561.8729719456821,258.24011713458725,122.01529107970282,1359.4016186532256,398.26998280775257,746.5426240428778,497.6571522203613,467.44723057616005,253.46540012081456,227.03920536603357,957.786731875342
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,hist_gradient_boosting,"{'max_iter': 2000, 'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,593.3719245936156,589.6843884223633,261.3086024677285,70.26468772348721,1231.7172232235512,382.37030670221816,770.925592260957,476.4922127548309,459.0431985729373,275.84132874900905,226.11263354143836,933.6336395412148
