dataset,ablation,model,model_parameters,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels,p90_pixel_error
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,linear,,4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,385.8866759662303,356.94244413026286,243.12342227761295,57.638450597455446,1445.1689164049747,234.54314281229432,468.42391355551734,256.5954271031895,206.86003549294279,234.56104752462036,189.07545941205439,685.8687026668049
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,ridge,{'alpha': 0.01},4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,385.8909702919677,356.9186492527109,243.11958234580166,57.642433067647524,1445.163146069239,234.53015141677255,468.4323707642001,256.59964029480835,206.8563605686194,234.5654913412046,189.08081969038545,685.856944830259
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,ridge,{'alpha': 0.1},4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,385.92972435739074,356.70518100552647,243.08514041024821,57.678844481954144,1445.1112275651876,234.413515835562,468.50831770164166,256.6376145709708,206.82329810879372,234.60537174749996,189.12893184404345,685.7510022505163
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,ridge,{'alpha': 1.0},4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,386.3271046250653,354.6368758401194,242.75204039488713,58.09627649409909,1444.5934337143779,232.49216456123224,469.25148982074916,257.02265939137226,206.49383574391052,234.9931608724416,187.53455598607565,684.6798361258578
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,elasticnet,"{'alpha': 0.01, 'l1_ratio': 0.5, 'max_iter': 2000}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,415.3314206400623,385.5569385327358,239.01485934501738,60.06949568818573,1452.5414743550505,256.85669020462586,509.44160871211585,289.6360649893556,228.98248848429705,244.99340047544138,207.48081474000958,765.8646065172206
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,lasso,{'alpha': 0.01},4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,449.28560222382407,385.9860306343313,246.81566566592087,60.51008944716483,1463.6205264519472,296.41376375293186,566.675411082797,321.9899361621837,254.1964030351183,260.39338763029104,233.04207890251217,789.0709190474488
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,random_forest,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 3}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,456.51790558927746,393.0057009947907,272.3318333575103,54.18877660940618,1469.257404423662,264.80158928825244,585.4574807320548,321.93358427499174,248.04090343684086,255.93865245166592,222.55232735435857,828.4875153768336
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,knn,"{'n_neighbors': 10, 'weights': 'distance'}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,456.8412163363865,389.8427285557945,306.00289226863833,24.576540535525947,1433.5631889514789,232.38536918291064,656.0889530208185,332.9215875781324,255.1300930404589,242.76868607635257,181.21603671673125,835.3828922466441
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,random_forest,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_leaf': 3}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,457.5940232707964,408.68858501793795,270.76922849179726,42.71707394432591,1480.6837057870098,268.30147707234954,610.4808316792407,332.59996052197164,252.57063080089105,255.47335153326011,220.52864467622726,809.284204291499
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,random_forest,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_leaf': 5}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,460.94155756947,419.3942989470385,269.6795444730442,54.64625266003888,1475.6748746682904,293.7718658646711,628.4893936685638,336.64173235281936,256.7607282546602,258.7364224490989,227.90555079625344,801.8447061133604
