,count,mean,std,min,25%,50%,75%,max,range
avg_iris_rel_face_x_norm,5388.0,0.010649096975086578,0.011912942207919143,-0.014963086807602952,0.0007345114582886674,0.010655868120893945,0.020317292926166824,0.03552646416622107,0.05048955097382402
avg_iris_rel_face_y_norm,5388.0,-0.1757226216956261,0.0028721836659302102,-0.18184322138224007,-0.1778650292491697,-0.17575971715414318,-0.17380255918323068,-0.16545695408198666,0.016386267300253415
face_yaw,5388.0,-0.037843348111202574,0.01945163694563937,-0.0776164941279496,-0.0510175341645073,-0.040602801855309456,-0.027483760414825475,0.0553155599271006,0.1329320540550502
face_pitch,5388.0,0.008777204179057708,0.009795555227440831,-0.0197948904960163,0.000452592265604325,0.00865687272593435,0.016434842588995326,0.0372998707582031,0.0570947612542194
face_roll,5388.0,0.03858853384430767,0.018147537055309082,0.000579421368467,0.028819020747315325,0.03440186194451765,0.04270302682634575,0.127394300578281,0.126814879209814
yaw_avg_iris_x_interaction,5388.0,-0.0002970173873359027,0.00048001784857933013,-0.0014839180898113772,-0.0006300207258698447,-0.0002811059066782824,2.5705113556386596e-05,0.0011629976414579237,0.002646915731269301
pitch_avg_iris_y_interaction,5388.0,-0.0015311837296126173,0.0017099945313312549,-0.006535826981723167,-0.0028518543440126257,-0.0015334228569573924,-7.97679904068928e-05,0.00350368089418635,0.010039507875909516
roll_avg_iris_x_interaction,5388.0,0.0004923035663545665,0.0006115614571924048,-0.00042473963573894124,2.4456776964903044e-05,0.0003601861290813573,0.0007965324312476451,0.0026475537796404216,0.003072293415379363
roll_avg_iris_y_interaction,5388.0,-0.0067810104759236395,0.0031636021905885395,-0.02158917617169178,-0.007564897070625874,-0.006035827370103445,-0.005024318679383856,-0.0001029231222178451,0.021486253049473936
yaw_squared,5388.0,0.0018104149522665046,0.0012767080102964877,1.6338570771248536e-08,0.0007901411451108917,0.0016753866749848714,0.002604883220561539,0.0060243201607140355,0.006024303822143264
pitch_squared,5388.0,0.0001729744067840111,0.00022062094152284337,1.0430325296664553e-12,1.079273757624637e-05,7.818409072847264e-05,0.00027087866355670194,0.001391280358578655,0.0013912803575356224
roll_squared,5388.0,0.0018183469219858958,0.001990362138742533,3.3572912223617094e-07,0.0008305360013708293,0.0011834881082324962,0.0018235485209700767,0.016229307819829404,0.01622897209070717
avg_iris_rel_face_x_norm_squared,5388.0,0.00025529511875472307,0.0002919739376773674,1.953421373480577e-11,3.2007867920787974e-05,0.00012117405539783599,0.00041279239203673265,0.00126212965615379,0.0012621296366195764
avg_iris_rel_face_y_norm_squared,5388.0,0.030886687683518682,0.0010071519763724622,0.02737600365408864,0.030207329578789355,0.030891478174373124,0.031635968630596104,0.03306695716267037,0.005690953508581731
