dataset,ablation,model,model_parameters,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels,p90_pixel_error,lag,fps,lag_seconds
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 1.0, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,104.55836416537949,70.7564314901969,90.29518015450476,1.0246439507750345,496.5178845795776,43.21553435160955,137.11376390859644,75.2956310381882,49.99466514558151,55.967498946731496,33.7861583062451,237.75294210742163,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 0.5, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,104.85559612062185,74.87601785547861,87.705804426723,0.8595486229094165,467.46365570154336,40.585787070608404,150.94661969404837,75.95480768093752,53.73055300050524,55.49478882374112,33.127604378075105,229.8381868898024,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 2.0, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,105.81263648246646,69.71717955152607,94.09250772418875,0.2452963310706306,545.9446771226936,45.67297416816575,134.35649757476983,77.29338643563594,50.643531044895056,55.98846486725233,32.94302800900654,245.7304047321823,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 0.5, 'epsilon': 0.05}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,112.09895668989448,80.68816443545296,93.43096227847475,6.62630329535069,483.2235893180432,53.827190308940935,118.96729753605004,80.77299169271899,63.20564259064142,61.502312354573554,38.810138356905945,271.0503303631371,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,113.42992309327342,87.74343674433312,90.17347771589942,0.33657199012942235,487.35150229508804,54.53921386265725,132.66032846527412,78.58861984426991,53.29949650584042,65.45751007714877,50.746320137450034,245.80574149749165,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,113.79078286359994,87.96320495969911,89.88690251450747,1.789790389193937,491.91390207632304,54.42618283675199,134.8559370563783,78.955746245768,52.42530818870789,65.36719717240153,51.422699907548584,244.69504005027807,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,114.67806518340933,89.7480058066986,90.77496560547112,2.440753136958786,492.25562217253747,53.90602384246364,133.6956865668513,79.86803199118674,54.67580442087456,65.96486290178052,50.98721453586077,245.77370912231567,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,114.79586672906818,90.12721579409863,90.73941146704952,2.2032509410299825,486.89597676467986,53.521450951644084,133.46841921855383,79.56566237920369,54.63800500235395,66.73169048000035,50.79701466128611,245.85283416911,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.0, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,116.01085867509092,85.29087049952729,96.196438943269,2.0864810386401698,463.28164800396235,49.46983660843985,152.32833081560773,79.62244956841143,56.39387472979209,69.51495648075914,54.34536953307989,264.93867153920013,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,RELATIVE_IRIS_TO_FACE,knn,"{'n_neighbors': 10, 'weights': 'distance'}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",4316,1079,116.16703982963217,63.72501539190791,123.17555940050575,1.8969142045359813,546.2840841108356,27.34629822257616,174.86891924168793,75.90785003997648,33.57363242567782,69.28455395636202,37.833005376987465,313.72667714318834,5,29.99694418979359,0.1666836451194666
