head_condition:,leftdx,leftdy,rightdx,rightdy,face_center_x,face_center_y,face_width,face_height,face_yaw,face_pitch,face_roll,dot_x,dot_y
CENTER,0.4318694472312927,0.4956894814968109,0.5515190362930298,0.49427202343940735,0.4841466784477234,0.5671654343605042,0.2665320634841919,0.43423980474472046,0.01911334612200464,0.05858351057295238,0.02195409354398474,0.9734375,0.90625
LEFT,0.3519481122493744,0.5040063858032227,0.46613574028015137,0.49104562401771545,0.4130749762058258,0.5685946822166443,0.2412382960319519,0.4257649779319763,-0.3307774774683512,0.06245654053792227,0.11002280345338908,0.9734375,0.90625
RIGHT,0.48291563987731934,0.49486100673675537,0.5858797430992126,0.4936438798904419,0.5283452808856964,0.5613011479377746,0.2463909089565277,0.42303556203842163,0.2903317166831549,0.06012102529969246,0.020443158211124524,0.9734375,0.90625
UP,0.4279223382472992,0.43273431062698364,0.5416508316993713,0.43458762764930725,0.4825005173683167,0.5055580079555512,0.25905996561050415,0.41201668977737427,0.03640747715588299,-0.03825870058747256,0.006855084075635515,0.9734375,0.90625
DOWN,0.41446834802627563,0.5699684619903564,0.5416938066482544,0.5629304051399231,0.4723575174808502,0.6317283809185028,0.27082106471061707,0.4068180024623871,0.0006426038601129693,0.12899230338535153,0.0662028798998447,0.9734375,0.90625
CENTER,0.40207773447036743,0.4938896596431732,0.5225412845611572,0.48984381556510925,0.46572975516319276,0.5653389096260071,0.2675771415233612,0.4374910593032837,-0.04016356368212195,0.05437212750831689,0.04048803853285889,0.2125,0.5520833333333334
LEFT,0.3349864184856415,0.49764347076416016,0.4418424963951111,0.4832916557788849,0.39852216839790344,0.5621740400791169,0.2313792109489441,0.4228743016719818,-0.4254699826038751,0.03436260135889653,0.12332837199905505,0.2125,0.5520833333333334
RIGHT,0.49609389901161194,0.4794352948665619,0.5940332412719727,0.49033889174461365,0.5407662749290466,0.5537955820560455,0.23037517070770264,0.4127640426158905,0.38683806228839235,0.029084452540035378,0.10419934165272157,0.2125,0.5520833333333334
UP,0.42864346504211426,0.42430734634399414,0.5404086709022522,0.4294184744358063,0.4870001196861267,0.4981224834918976,0.2523128092288971,0.3881978988647461,0.023397296996898142,-0.06213587537310683,0.03730287910533234,0.2125,0.5520833333333334
DOWN,0.40639448165893555,0.6105583906173706,0.533178448677063,0.6033754944801331,0.4740103602409363,0.6668158710002899,0.26794567704200745,0.38172170519828796,0.002690149280956626,0.1921516295290884,0.07007792180401579,0.2125,0.5520833333333334
CENTER,0.42017778754234314,0.47338202595710754,0.5365516543388367,0.47227177023887634,0.4766074538230896,0.5462085187435151,0.26429253816604614,0.4299680292606354,0.0038284041403732396,0.02771991885125269,0.01869228055454919,0.7234375,0.5458333333333333
LEFT,0.32614219188690186,0.49984923005104065,0.42444366216659546,0.4810425043106079,0.3882362306118011,0.5584104180335998,0.22143679857254028,0.4118465781211853,-0.5158088909214386,0.03672398804047505,0.1761619470422474,0.7234375,0.5458333333333333
RIGHT,0.5126132369041443,0.4905449151992798,0.6090077757835388,0.5049617290496826,0.5547968327999115,0.5651203036308289,0.22700431942939758,0.4094350337982178,0.40909834461095645,0.04221988650755985,0.13883035333551932,0.7234375,0.5458333333333333
UP,0.4480624794960022,0.42476320266723633,0.5568220615386963,0.43751761317253113,0.49995327591896055,0.4998943567276001,0.24926823377609253,0.38151443004608154,0.058883527055181614,-0.06833980392922705,0.1103098545014821,0.7234375,0.5458333333333333
DOWN,0.4222621023654938,0.5688936710357666,0.5460313558578491,0.5661906003952026,0.4825789868831635,0.6324088037014007,0.26794642210006714,0.40906694531440735,0.0007506570612816004,0.14049069179540827,0.034057570206058665,0.7234375,0.5458333333333333
CENTER,0.41769322752952576,0.4777681529521942,0.5335601568222046,0.4761033356189728,0.4788575887680054,0.551138025522232,0.2622204124927521,0.4240504205226898,-0.02750732299258853,0.03520806540494608,0.022450910272329292,0.115625,0.18958333333333333
LEFT,0.3437357544898987,0.48718172311782837,0.44718170166015625,0.4710206389427185,0.40688557028770445,0.5513920485973358,0.2278042435646057,0.4150552451610565,-0.4495397733234151,0.024585689766950292,0.13952545524216997,0.115625,0.18958333333333333
RIGHT,0.4801691472530365,0.47115954756736755,0.5907326340675354,0.48202767968177795,0.5366762161254883,0.549973475933075,0.2519512176513672,0.42293405532836914,0.24269086642189333,0.03355095004605635,0.08294654885632156,0.115625,0.18958333333333333
UP,0.4213854670524597,0.4344120919704437,0.5354825258255005,0.4363384544849396,0.4805660545825958,0.5079164981842041,0.2587814927101135,0.3964481055736542,-0.04928525741351238,-0.04300797491255651,0.010526733578022997,0.115625,0.18958333333333333
DOWN,0.4217816889286041,0.5414647459983826,0.5426003336906433,0.5421106219291687,0.48514423370361326,0.610397332906723,0.27049267292022705,0.41765132546424866,-0.009518050890744482,0.11384162026502968,0.002419230530097744,0.115625,0.18958333333333333
CENTER,0.4345439076423645,0.47681111097335815,0.5514259338378906,0.4779103398323059,0.4861807107925415,0.5513580083847046,0.26240968704223633,0.42733234167099,-0.01266745016018157,0.02793053634401649,0.0003910889583803416,0.940625,0.5833333333333334
LEFT,0.34887170791625977,0.4964834749698639,0.45121464133262634,0.4849679172039032,0.4092522025108337,0.5620929002761841,0.2264384627342224,0.4139189124107361,-0.46248730260302234,0.03540079088106443,0.09971903463208871,0.940625,0.5833333333333334
RIGHT,0.5210880041122437,0.49150627851486206,0.6193270087242126,0.5133833289146423,0.5605233311653137,0.5705153286457062,0.23416554927825928,0.409616082906723,0.35603284184932926,0.042972992341991506,0.20547879661067495,0.940625,0.5833333333333334
UP,0.43950143456459045,0.43672889471054077,0.5506106615066528,0.4445897042751312,0.4934967696666718,0.511600011587143,0.2520785331726074,0.39200013875961304,0.0020935520299935496,-0.041764594883946606,0.06141977959899816,0.940625,0.5833333333333334
DOWN,0.44378894567489624,0.576729953289032,0.5682974457740784,0.5753263235092163,0.4947153449058533,0.6410581052303315,0.27068835496902466,0.40716686844825745,0.025446024648362608,0.13675493346521983,0.024836449512567235,0.940625,0.5833333333333334
CENTER,0.44158148765563965,0.4730449616909027,0.5573827028274536,0.4798658788204193,0.4951403737068176,0.5510700285434723,0.2624233663082123,0.4269339144229889,0.02122630179637264,0.02105699442079784,0.04853036542943445,0.6515625,0.30416666666666664
LEFT,0.37745484709739685,0.48365122079849243,0.4900131821632385,0.47596853971481323,0.4329217255115509,0.5542791068553925,0.24016663432121277,0.42433616518974304,-0.3239317851428061,0.032693901031713,0.05534844747648933,0.6515625,0.30416666666666664
RIGHT,0.5420092344284058,0.47911396622657776,0.6340911388397217,0.5004237294197083,0.5808926343917846,0.558646684885025,0.21955722570419312,0.40354958176612854,0.4811052300234637,0.011791001424796931,0.22420178255722656,0.6515625,0.30416666666666664
UP,0.44553765654563904,0.4296779930591583,0.5565914511680603,0.4412112832069397,0.49855766296386717,0.5062100708484649,0.25243496894836426,0.387283056974411,0.024442310979808063,-0.06501118924933261,0.09597931818908563,0.6515625,0.30416666666666664
DOWN,0.4363934099674225,0.5431386828422546,0.5579338073730469,0.5482412576675415,0.49042984247207644,0.6143228471279144,0.27142995595932007,0.4190559685230255,0.0016455346796406284,0.1144647837291096,0.032258263578491805,0.6515625,0.30416666666666664
CENTER,0.4592122435569763,0.4794747233390808,0.5714967846870422,0.4895431399345398,0.5064531803131104,0.5554640054702759,0.25985240936279297,0.42574721574783325,0.07361982750711074,0.025696104903740843,0.07553924009855041,0.8796875,0.7625
LEFT,0.3675977289676666,0.4969331622123718,0.47845888137817383,0.484060138463974,0.42515891790390015,0.56284658908844,0.23428893089294434,0.4195948839187622,-0.3548183079113322,0.04169478129118644,0.11119921682224573,0.8796875,0.7625
RIGHT,0.5116031169891357,0.49352625012397766,0.6114165186882019,0.5068718194961548,0.5515779614448547,0.5689598262310028,0.23898643255233765,0.4139820635318756,0.3358973514831051,0.03417628607092123,0.12450550944387959,0.8796875,0.7625
UP,0.4502096176147461,0.44165095686912537,0.5605510473251343,0.45164626836776733,0.5012645840644836,0.5165216624736786,0.25154995918273926,0.3956927955150604,0.041192491164152,-0.04824437626263939,0.08003162515215052,0.8796875,0.7625
DOWN,0.44417446851730347,0.551395833492279,0.5653630495071411,0.5515105128288269,0.49522178769111636,0.6181910395622253,0.2694814205169678,0.414999783039093,0.033157286600659835,0.10762730158429229,0.008117739575516347,0.8796875,0.7625
CENTER,0.432039737701416,0.48245811462402344,0.5490760207176208,0.4858025312423706,0.4891384422779083,0.5583608448505402,0.26239243149757385,0.4281981289386749,0.002159310955883681,0.031010036577951823,0.01819321582626959,0.525,0.6770833333333334
LEFT,0.3617655336856842,0.4936794638633728,0.4670470356941223,0.48299068212509155,0.4176579713821411,0.5604200899600983,0.22786596417427063,0.419058233499527,-0.41150461691102164,0.02908106890271079,0.09930913072288586,0.525,0.6770833333333334
RIGHT,0.5161643624305725,0.48845306038856506,0.6158105134963989,0.5065540671348572,0.5607588887214661,0.5674184024333954,0.23509395122528076,0.41421177983283997,0.3673616748752986,0.03201366953790662,0.16354927085409665,0.525,0.6770833333333334
UP,0.4392126202583313,0.4346998929977417,0.5484708547592163,0.44288426637649536,0.49219279885292055,0.5079625010490417,0.24983936548233032,0.3815481662750244,0.0026227398595622827,-0.0630785919645273,0.06848264664707987,0.525,0.6770833333333334
DOWN,0.4306320250034332,0.6035749912261963,0.5563140511512756,0.6004980802536011,0.48913322687149047,0.6656592130661011,0.27237504720687866,0.3924635052680969,0.018375077548939262,0.16555753749936403,0.03807851841195111,0.525,0.6770833333333334
CENTER,0.44024235010147095,0.4882687032222748,0.5583122968673706,0.4921020269393921,0.48988199830055235,0.564966082572937,0.26802724599838257,0.43627113103866577,0.022272969973209548,0.0402699532681232,0.020768079681353635,0.940625,0.19375
LEFT,0.3592641055583954,0.49745574593544006,0.4679056704044342,0.4875463545322418,0.41648970246315004,0.5662331581115723,0.2351597547531128,0.429157018661499,-0.39503212155345335,0.04375602425535343,0.08035344804343453,0.940625,0.19375
RIGHT,0.5119213461875916,0.49074509739875793,0.6123042702674866,0.5025929808616638,0.5533435225486756,0.5687384009361267,0.24209362268447876,0.41986507177352905,0.33789842421455085,0.03684970841832682,0.09767463120147389,0.940625,0.19375
