,count,mean,std,min,25%,50%,75%,max,range
leftdx,500.0,0.4232323442697525,0.019405274790169392,0.3887408375740051,0.40836264193058014,0.4222346544265747,0.4333348125219345,0.5055021047592163,0.11676126718521118
leftdy,500.0,0.5081217703223229,0.006545737923843813,0.4869676232337951,0.5041179656982422,0.5073468387126923,0.5119888335466385,0.5269917249679565,0.04002410173416143
rightdx,500.0,0.5450978385210037,0.01952837011181214,0.5101479291915894,0.5295888483524323,0.5427042245864868,0.5567968040704727,0.6218794584274292,0.11173152923583984
rightdy,500.0,0.5096919440031051,0.007305114767591605,0.4959841668605804,0.5038742572069168,0.5092471837997437,0.51473468542099,0.5322374701499939,0.03625330328941351
face_center_x,500.0,0.48281039679050447,0.017462071443404593,0.453717702627182,0.46977469027042384,0.48050146102905267,0.4929965481162071,0.5572423815727234,0.10352467894554146
face_center_y,500.0,0.5844315145850182,0.005491995840512805,0.5682228803634644,0.5804825842380523,0.5837918072938919,0.58806893825531,0.6018310189247131,0.03360813856124878
face_width,500.0,0.2746681443452835,0.0064701309386223154,0.2482606768608093,0.2710493579506874,0.27463534474372864,0.2786536514759063,0.2927877306938171,0.044527053833007785
face_height,500.0,0.45141286009550097,0.0068700733492046435,0.4293025732040405,0.4474738836288452,0.4530234783887863,0.45512318611145014,0.4722510278224945,0.04294845461845398
face_yaw,500.0,-0.014937923048825718,0.03736366416773458,-0.176718106648328,-0.0342670788304457,-0.01281638116583045,0.007879359352314399,0.1096892682725114,0.2864073749208394
face_pitch,500.0,0.04512729067669758,0.014351755507736517,0.016785770073026,0.03359384603056825,0.043733515209412696,0.054207862357713646,0.085357483802467,0.06857171372944099
face_roll,500.0,0.02811797623093209,0.025198632146206473,8.447742446941387e-05,0.011002951913784625,0.0250675663218365,0.036440612497736974,0.1918389377836838,0.1917544603592144
