dataset,ablation,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,564.501944478563,532.2248963890825,266.63704838748697,77.52453047482963,1449.4133369059557,384.15036967972185,717.2706116594552,467.4541422102193,430.6883555175914,247.65230155943019,221.4572630998249
ExperimentHeadMovement,INTERACTION_FEATURES,9,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction",400,100,575.8792326933943,550.0840325789079,271.2551561903109,132.75404224904193,1398.3374409581352,384.1037453284158,735.0824814126662,482.7602525062501,452.18266933870314,251.27484009661862,229.68407842487244
ExperimentHeadMovement,RELATIVE_PLUS_HEAD_POSE,5,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll",400,100,639.6904626774551,601.9714882511914,364.14152617653303,67.6761233892878,2359.7746595166213,410.10111559078086,778.6604267556017,547.4485656363325,516.7630164122936,253.65894199712199,228.81145752140782
ExperimentHeadMovement,RAW_ALL,11,"leftdx, leftdy, rightdx, rightdy, face_center_x, face_center_y, face_width, face_height, face_yaw, face_pitch, face_roll",400,100,673.3054348756444,621.8563632330086,354.35847608457544,82.48831833974636,2222.7078904227656,455.8452557118039,806.4648023697474,584.0829796368012,544.679971204826,257.5993256449935,244.2914601305257
ExperimentHeadMovement,RAW_FACE_CENTER,6,"leftdx, leftdy, rightdx, rightdy, face_center_x, face_center_y",400,100,679.1632571123118,635.897667964147,340.8562620325933,31.740122118072065,2060.173342142383,448.9265244470011,847.1950124214911,584.4176247047835,586.0799737928893,276.1659615154234,271.5531961228604
ExperimentHeadMovement,RELATIVE_IRIS_TO_FACE,4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,686.8802679524686,599.300298044835,340.99871433798944,110.28364097181814,2088.064284134304,468.96771064258684,888.3876160793196,588.9500428109943,520.0841768880545,277.0786363688748,278.2780010356398
ExperimentHeadMovement,AVG_NORMALIZED_RELATIVE_IRIS,2,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm",400,100,698.321444102737,655.3151733280104,342.79047212424194,100.224988336492,2179.8349428607116,477.51716103451344,842.8165781811008,589.8661715941508,573.9886932078942,283.5260037092146,262.63314375145046
ExperimentHeadMovement,AVG_IRIS_ONLY,2,"avg_iris_x, avg_iris_y",400,100,712.200810549764,694.2677066310023,225.91448336590898,181.69428345828038,1167.110787668445,565.7132825567674,906.9549383546212,608.4140616056102,645.1000396292623,287.57533587146355,247.65516710733345
ExperimentHeadMovement,NORMALIZED_RELATIVE_IRIS_TO_FACE,4,"left_iris_rel_face_x_norm, left_iris_rel_face_y_norm, right_iris_rel_face_x_norm, right_iris_rel_face_y_norm",400,100,725.1787551172728,641.2757748731483,417.8713761182471,142.95274009428047,2714.895374117621,479.68010978368306,867.1298934436927,619.4194444627939,574.0834579853766,281.97644693134544,248.96356849818915
ExperimentHeadMovement,RAW_HEAD_POSE,7,"leftdx, leftdy, rightdx, rightdy, face_yaw, face_pitch, face_roll",400,100,726.0404039793561,682.7234554578583,256.36543185441406,221.280792084558,1263.4118210945428,534.0077064992317,936.0318983806634,632.1962063981547,619.3113447611424,281.12013972966014,258.02791183425165
ExperimentHeadMovement,RAW_IRIS,4,"leftdx, leftdy, rightdx, rightdy",400,100,735.9136337810263,702.4164701910213,243.3736660965884,280.07889747598114,1312.8184346121147,571.621488637228,968.1744338952115,638.7629236175189,671.0330129962231,286.6601456828001,258.2174031091238
ExperimentHeadMovement,AVG_IRIS_WITH_EYE_DIFF,4,"avg_iris_x, avg_iris_y, iris_dx, iris_dy",400,100,735.9136362540195,702.4164743165809,243.37366964224077,280.0789095320881,1312.8184423150917,571.6214905512809,968.1744461347587,638.7629265130623,671.0330062841505,286.66014559092775,258.21740326006017
