dataset,ablation,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,385.8866759662298,356.9424441302625,243.12342227761306,57.638450597454494,1445.1689164049742,234.5431428122945,468.4239135555171,256.59542710318874,206.86003549294267,234.56104752462034,189.07545941205433
ExperimentHeadStill,NORMALIZED_RELATIVE_IRIS_TO_FACE,4,"left_iris_rel_face_x_norm, left_iris_rel_face_y_norm, right_iris_rel_face_x_norm, right_iris_rel_face_y_norm",400,100,385.95149817801973,347.1699737145784,263.45916329658394,36.9293915836463,1414.03911579316,177.76143444635713,525.6894544422498,225.6071777711291,161.3247533180549,266.44133037276043,208.02875526475867
ExperimentHeadStill,RAW_FACE_CENTER,6,"leftdx, leftdy, rightdx, rightdy, face_center_x, face_center_y",400,100,412.16015911787576,370.31918957742124,246.8879771361807,62.481901571753106,1480.8866551777837,251.02566004903787,520.6902780796318,263.55527305618193,218.49628046311597,276.1023551630899,231.04093634355934
ExperimentHeadStill,AVG_NORMALIZED_RELATIVE_IRIS,2,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm",400,100,481.2692123732648,418.92708660077665,272.21571404171937,136.85095810735513,1492.9469755138066,280.82040840903153,572.039221932439,372.58939479200706,288.35517275389884,232.64179623657805,195.45201885173225
ExperimentHeadStill,INTERACTION_FEATURES,9,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction",400,100,600.499149624095,430.7011695253177,419.9952748571072,70.7675465883671,1961.9421163291727,304.39643340593113,892.4767870582752,445.92278283856683,326.1480074700813,351.43628688019004,253.8462937333273
ExperimentHeadStill,RELATIVE_PLUS_HEAD_POSE,5,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll",400,100,625.828115896216,433.39733297906787,441.1752747045085,105.50750794871064,1973.973350612375,313.8255027062379,875.3063973290738,504.28734982261517,354.1787445127777,312.69327464998963,241.38468575688165
ExperimentHeadStill,RAW_ALL,11,"leftdx, leftdy, rightdx, rightdy, face_center_x, face_center_y, face_width, face_height, face_yaw, face_pitch, face_roll",400,100,662.3914918600215,472.0599284161626,523.5736104630652,46.91511811310101,2153.3270622846035,304.4465847849927,821.9822818447973,275.6498295957344,217.57380362176525,551.7060559429383,365.7354195030242
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,734.7893168800784,480.91380735455823,582.8942672136709,41.4647156795541,2244.0372048525155,320.5144403147009,925.8650543553207,564.542591850296,365.4263042634001,401.63894859245625,280.6270622449407
ExperimentHeadStill,AVG_IRIS_ONLY,2,"avg_iris_x, avg_iris_y",400,100,755.896786476326,648.0095624751539,528.2938160556937,92.10615245024948,2367.50012817739,396.86826459913334,844.1070890052098,623.6190506884446,461.8858815188298,306.5921035257242,290.43898140551516
ExperimentHeadStill,RAW_IRIS,4,"leftdx, leftdy, rightdx, rightdy",400,100,832.4561722531487,624.628081935475,665.2355297407709,101.78024439650595,2611.954905690107,388.0195876696073,839.9999651334606,692.2439573720549,461.6538165550553,315.04656554001815,298.84907728255547
ExperimentHeadStill,AVG_IRIS_WITH_EYE_DIFF,4,"avg_iris_x, avg_iris_y, iris_dx, iris_dy",400,100,832.4563482938316,624.6275433785981,665.2360661474229,101.7799613583509,2611.9566888770923,388.0193335345772,839.9997801338919,692.2441179672252,461.65311813225054,315.0465665995687,298.84905971841783
ExperimentHeadStill,RAW_HEAD_POSE,7,"leftdx, leftdy, rightdx, rightdy, face_yaw, face_pitch, face_roll",400,100,1294.8787883639602,565.9825304426065,1688.342508500072,44.41201817566846,5626.781455874,331.42572457644087,909.7555528703342,1132.6566964444035,346.2483685643223,457.2967206027066,371.9921504757533
